accession,source
2076,Ecuador
2126,Ecuador
2367,Ecuador
2416,Ecuador
2462,Ecuador
2699,Ecuador
2748,Ecuador
AGU_3339_12,Trinidad
AMAZ-11_G18_A1,Ecuador
AMAZ-11_G21_A10,Ecuador
AMAZ-14_G23_A1,Ecuador
AMAZ-14_G24_A5,Ecuador
AMAZ_12,Trinidad
AMAZ_15_15,Trinidad
AM_1_54,CostaRica
AM_2_18,CostaRica
BE_10,CostaRica
BR25,Indonesia
B_6_3,Trinidad
B_6_8,Trinidad
Brisas-1,Ecuador
CAB_71_PL3,Miami
CAB_76_PL3,Miami
CAB_77_PL5,Miami
CATIE_1000,CostaRica
CCAT1119_EET544_A1,Ecuador
CCAT1858_EET547,Ecuador
CCAT4675_EET575,Ecuador
CCAT4688_EET576_A1,Ecuador
CCAT4998_EET577,Ecuador
CCN10,CostaRica
CCN51,Brazil
CC_71,CostaRica
CL_27_50,Trinidad
COCA_3370_5,CostaRica
CRUZ_7_14,CostaRica
CRU_101,Trinidad
CRU_59,Trinidad
CRU_89,Trinidad
CS_146,CostaRica
CUR3_G35_A1,Ecuador
CUR3_G37_A6,Ecuador
CUR3_G38_A8,Ecuador
CUR3_G39_A10,Ecuador
Catongo,CostaRica
EB-19-1S,Ecuador
EB2237_A1,Ecuador
EET103_Borde,Ecuador
EET397,CostaRica
EET400_Arbol-122,Ecuador
EET446_A1,Ecuador
EET451_A1,Ecuador
EET462_A1,Ecuador
EET58_A1,Ecuador
EET95_A2,Ecuador
EET_103,Ecuador
EET_395,Trinidad
EET_400,CostaRica
EET_58,Trinidad
EET_59,Trinidad
ELP_20_A,CostaRica
FSC_13,CostaRica
GU255_V,CostaRica
GU_114_P,Trinidad
GU_175_P,Trinidad
GU_291_F,Trinidad
GU_222,Trinidad
GU_300_P,Trinidad
GU_307,CostaRica
GU_308A,CostaRica
ICA_70,Trinidad
ICS39,CostaRica
ICS40,CostaRica
ICS_1,Miami
ICS_43,Trinidad
ICS_6,Trinidad
ICS_60,Trinidad
ICS_61,Trinidad
ICS_95,Miami
IMC67,Trinidad
IMC_12,Trinidad
IMC_14,Trinidad
IMC_20,Trinidad
IMC_36,Trinidad
IMC_47,CostaRica
IMC_50,Trinidad
IMC_51,Trinidad
JA_5_35,Trinidad
JA_5_36,Trinidad
JA_5_5,Trinidad
K82,PapuaNewGuinea
KA2,PapuaNewGuinea
LCT46_A1,Ecuador
LCTEEN_141,Miami
LCT_EEN_46,Trinidad
LCT_EEN_83_S-8,Trinidad
LP_3_40,Trinidad
LP_4_48,Trinidad
LX_32,CostaRica
LX_43,CostaRica
M01,Indonesia
M02,Indonesia
M04,Indonesia
M05,Indonesia
M06,Indonesia
M07,Indonesia
MAN_15_2,CostaRica
MATINA_Tica2,Ecuador
MO_109,Trinidad
MO_4,Trinidad
MO_9,Trinidad
MO_99,Trinidad
MXC_67,Trinidad
M_8,Trinidad
Matina,CostaRica
Mocorongo,CostaRica
NA45,CostaRica
NA702,Trinidad
NA_286,Trinidad
NA_331,Trinidad
NA_33_T2,Trinidad
NA_712,Trinidad
NA_92,Trinidad
NH_40,Bolivia
NH_53,Bolivia
OC_61,Trinidad
PA107_A1,Trinidad
PA289,Trinidad
PA_107,Trinidad
PA_120,Trinidad
PA_121,CostaRica
PA_13,Miami
PA_137,Trinidad
PA_150,Trinidad
PA_169,Trinidad
PA_218,Trinidad
PA_51,Miami
PA_56,Trinidad
PA_70,Miami
PA_88,Miami
PBC123,Indonesia
PMF_20,Miami
PMF_27,Miami
POUND_10_B,Trinidad
POUND_7_B,Trinidad
PlayaAlta1,Trinidad
Pound_7,CostaRica
RB39PL1,CostaRica
RB_40,CostaRica
RB_47_PL3,CostaRica
REDAMEL_1_27,Trinidad
REDAMEL_1_31,Trinidad
SCA6**,Miami
SCA_10,Trinidad
SCA_11,Trinidad
SCA_19,CostaRica
SCA_24.2,CostaRica
SCA_5,Miami
SC_1,CostaRica
SIAL169,CostaRica
SIAL70,CostaRica
SIAL84,CostaRica
SIC806,CostaRica
SIL-1_G56_A6,CostaRica
SJ_2_22,Trinidad
SLC_4,Trinidad
SNA0707,CostaRica
SPA_7,CostaRica
SPEC_194_75,Trinidad
SPEC_54_1,CostaRica
T675_A645_A1,Ecuador
T678_B60_A1,Ecuador
T680_A1,Ecuador
T682_A1_D147,Ecuador
T684_EET233_A1,Ecuador
T685_EET387_A1,Ecuador
T686_LCT-368_A1,Ecuador
T695_SCA-6_A1,Ecuador
TAP10_G12_A1,Ecuador
TAP3_G70_A2,Ecuador
TAP6_G12_A1,Ecuador
TIP-1_G41_A1,Ecuador
TRD86,Trinidad
TRD_45,Trinidad
TSA654Zymo,CostaRica
TSH1188,Brazil
TSH516,CostaRica
UF12,CostaRica
UF273_T1,CostaRica
UF273_T2,CostaRica
UF_11,CostaRica
UF_668,CostaRica
UF_676,CostaRica
UNAP2_G78_A2,Ecuador
criollo,CostaRica
mvP30,Indonesia
mvT85,Indonesia
sp1,Venezuela
sp3,Venezuela
sp9,Venezuela
